"beaCode","beaName","substance","unit","impFactor","dtlLvl","impactCategory","impactUnits","gwpVersion","gwp"
"334511","Navigation instruments","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",84
"334511","Navigation instruments","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",298
"334511","Navigation instruments","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",289
"334511","Navigation instruments","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",265
"334511","Navigation instruments","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",264
"334511","Navigation instruments","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"334511","Navigation instruments","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR4 20",2.35027717526513
"334511","Navigation instruments","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR5 100",0.990927007256356
"334511","Navigation instruments","other GHGs","kg CO2e/2018 USD, purchaser price",0.002,"detail","GHG emissions","kg CO2e","IPCC AR5 20",2.39012373263774
"334512","Automatic controls for HVAC and refrigeration equipment","carbon dioxide","kg/2018 USD, purchaser price",0.053,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"334512","Automatic controls for HVAC and refrigeration equipment","carbon dioxide","kg/2018 USD, purchaser price",0.053,"detail","GHG emissions","kg CO2e","IPCC AR4 20",1
"334512","Automatic controls for HVAC and refrigeration equipment","carbon dioxide","kg/2018 USD, purchaser price",0.053,"detail","GHG emissions","kg CO2e","IPCC AR5 100",1
"334512","Automatic controls for HVAC and refrigeration equipment","carbon dioxide","kg/2018 USD, purchaser price",0.053,"detail","GHG emissions","kg CO2e","IPCC AR5 20",1
"334512","Automatic controls for HVAC and refrigeration equipment","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",25
"334512","Automatic controls for HVAC and refrigeration equipment","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",72
"334512","Automatic controls for HVAC and refrigeration equipment","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",28
"334512","Automatic controls for HVAC and refrigeration equipment","methane","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",84
"334512","Automatic controls for HVAC and refrigeration equipment","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 100",298
"334512","Automatic controls for HVAC and refrigeration equipment","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR4 20",289
"334512","Automatic controls for HVAC and refrigeration equipment","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 100",265
"334512","Automatic controls for HVAC and refrigeration equipment","nitrous oxide","kg/2018 USD, purchaser price",0,"detail","GHG emissions","kg CO2e","IPCC AR5 20",264
"334512","Automatic controls for HVAC and refrigeration equipment","other GHGs","kg CO2e/2018 USD, purchaser price",0.009,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
"334512","Automatic controls for HVAC and refrigeration equipment","other GHGs","kg CO2e/2018 USD, purchaser price",0.009,"detail","GHG emissions","kg CO2e","IPCC AR4 20",2.35027717526513
"334512","Automatic controls for HVAC and refrigeration equipment","other GHGs","kg CO2e/2018 USD, purchaser price",0.009,"detail","GHG emissions","kg CO2e","IPCC AR5 100",0.990927007256356
"334512","Automatic controls for HVAC and refrigeration equipment","other GHGs","kg CO2e/2018 USD, purchaser price",0.009,"detail","GHG emissions","kg CO2e","IPCC AR5 20",2.39012373263774
"334513","Industrial process variable instruments","carbon dioxide","kg/2018 USD, purchaser price",0.064,"detail","GHG emissions","kg CO2e","IPCC AR4 100",1
